jzrq,plrq,nbysk,gdzcql,yffbzk,jsbfj,ysbf,ysfbzk,ysfbhtzbj,ysgl,ysckts,ysbtk,ysbzj,dfy,dclldzcsy,ynndqdfldzc,cqysk,qtcqtz,gdzcyz,gdzcjz,gdzcjzzbj,scxswzc,gyxswzc,yqzc,kfzc,gqfzltq,qtfldzc,yfsxfyj,qtjyk,yfbzj,nbyfk,ytfy,bxhtzbj,dlmmzqk,dlcxzqk,gjpjjs,gnpjjs,dysr,yfdqzq,cqdysr,wqddtzss,nfpxjgl,yjfz,xsckjtycf,yjldfz,j_kcg,hbzj,cczj,jyxjrzc,ysjrzc,yspj,yszk,yfkx,yslx,qtysk,mrfsjrzck,gyjzjzbdqjsrdq,ch,qtldzc,ldzchj,ffdkjjd,kkgsjrzc,cyzdqtz,cqgqtz,tzxfd,ljzj,gdzc,zjgc,gcwz,cqfz,wxzc,sy,cqdtfy,dysdszc,fldzchj,zczj,dqjk,xzyhyhk,crzj,jyxjrfz,ysjrfz,yfpj,yfzk,ysk,mchgjrzck,yfgzxc,yjsf,yflx,yfgl,qtfzk,ynndqdfldfz,qtldfz,ldfzhj,cqjk,yfzq,cqyfk,zxyfk,dysdsfz,qtfldfz,fldfzhj,fzhj,sszb,zbgj,zxzb,ylgj,ybfxzb,wfplr,wbbzbzhc,gsmgdqsyhj,ssgdqy,syzqyhj,fzhgdqyzj,dm
20230331,20230427,-,-,-,-,-,-,-,-,-,-,-,872233.53,-,-,-,-,-,-,-,-,-,-,-,-,1857922.05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,93752815.69,-,408180120.18,-,58694162.97,157708638.76,5978668.46,-,-,-,-,87693510.62,-,893818265.41,-,-,-,-,-,-,171679899.81,47500.0,-,10988600.1,40712806.2,-,872233.53,5200155.08,289289434.81,1183107700.22,-,-,-,-,-,27782166.58,94990882.36,1553236.49,-,5004212.06,6458847.68,-,-,-,230257.18,18790212.13,171917582.06,-,-,-,-,10786356.03,-,10988600.1,182906182.16,291990440.0,253978897.57,10366856.67,76828103.38,-,313096220.44,-,1000201518.06,-,1000201518.06,1183107700.22,603488.SH
20230331,20230428,-,-,-,-,-,-,-,-,-,-,-,3111531.23,-,-,-,-,-,-,-,-,-,-,-,-,12490696.98,-,-,-,-,-,-,-,-,-,-,1764900.01,-,-,-,-,-,-,-,82482131.07,1505407159.34,-,27679282.91,-,131820555.93,508279695.98,2275419.49,-,-,-,-,362663266.45,35786732.23,2703186218.16,-,-,-,-,-,-,451115949.93,245953307.18,-,12125818.0,87524920.19,-,3111531.23,19632931.51,834943825.14,3538130043.3,-,-,-,5070000.0,-,-,406065237.52,65542513.14,-,15689770.48,18660483.95,-,-,-,4724075.64,86520678.31,620184809.63,-,-,-,-,290671.39,-,12125818.0,632310627.63,120297135.0,1405740559.96,-,60157477.5,-,1403727021.68,-,2905819415.67,-,2905819415.67,3538130043.3,603489.SH
20230331,20230428,-,-,-,-,-,-,-,-,-,-,-,56357157.44,-,26519.25,-,-,-,-,-,-,-,-,-,-,17123941.12,-,-,-,-,-,-,-,-,-,-,491078.29,-,-,-,-,-,-,-,-,113954742.25,-,-,-,500000.0,211607055.02,4430321.46,-,-,-,-,87956363.0,27388639.14,478274979.73,-,-,-,-,38891579.99,-,393949542.45,14292126.94,-,40747945.41,79815209.76,19624076.49,56357157.44,23720631.67,687819409.44,1166094389.17,45000000.0,-,-,-,-,39156029.96,120518667.36,6172994.91,-,13636358.23,4326115.79,-,-,-,23462510.18,1961606.35,288089882.52,50107582.27,152368607.35,-,-,-,-,243224135.03,531314017.55,201153443.0,237622581.39,-,20538626.06,-,116772391.01,-,604631834.87,30148536.75,634780371.62,1166094389.17,603499.SH
20230331,20230426,-,-,-,-,-,-,-,-,-,-,-,35425988.41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,500848.0,-,-,-,-,-,-,-,-,307674366.86,-,584350625.19,-,-,617340865.9,9175569.01,-,-,-,-,14202678.26,24557416.79,1650452787.07,-,-,-,188921323.05,23707358.63,-,46724820.62,-,-,70920926.92,1293277.16,236394518.56,35425988.41,15325099.92,673095707.71,2323548494.78,-,-,-,-,-,-,326596163.46,283122953.94,-,60898717.37,33496885.87,-,-,-,11669342.0,-,1158367096.51,-,-,-,-,3348863.14,-,70920926.92,1229288023.43,187777779.0,259402004.64,-,75844932.56,-,544984547.76,-,1068009263.96,26251207.39,1094260471.35,2323548494.78,603506.SH
20230331,20230427,-,-,-,-,-,-,-,-,-,-,-,14998099.91,-,-,-,-,-,-,-,-,-,-,-,-,106992003.4,-,-,-,-,-,-,-,-,-,-,13150537.93,-,-,-,-,3269122.2,-,-,325472956.38,3566460619.04,-,1421596133.59,-,580000.0,625463027.24,21638193.44,-,-,-,-,523326071.46,36523552.46,6284746947.89,-,-,-,217142148.3,57044261.31,-,776488530.07,572513036.14,-,26220397.09,357458184.86,6750000.0,14998099.91,89297740.86,2563240730.3,8847987678.19,243219286.45,-,-,379308.63,-,-,776889373.88,204997623.73,-,142643168.29,114768941.28,-,-,-,9965168.02,691861083.62,2614096451.73,-,-,-,-,1490804.33,-,26220397.09,2640316848.82,754210692.0,917642029.21,-,400338803.84,-,4369105399.84,-,6163566897.45,44103931.92,6207670829.37,8847987678.19,603515.SH
20230331,20230418,-,-,-,-,-,-,-,-,-,-,-,9965177.3,-,-,-,-,-,-,-,-,-,-,-,-,132568.0,-,-,-,-,-,-,-,-,-,-,2175806.56,-,-,-,-,1855170.92,-,-,40002203.0,426284779.24,-,187964085.93,-,13098535.85,177173379.84,14907599.48,-,-,-,-,104148195.95,14086513.63,946923536.25,-,-,-,19749663.53,29267540.09,-,285234384.76,-,-,21976937.01,14634475.87,-,9965177.3,3507221.86,423517959.87,1370441496.12,-,-,-,-,-,-,43461018.65,11629589.92,-,8561475.92,4128996.09,-,-,-,4707246.1,3809621.99,78702199.42,-,254292672.3,-,-,1480625.5,-,276269609.31,354971808.73,185187838.0,458861508.9,-,53335209.14,-,282400636.38,-,1015334199.13,135488.26,1015469687.39,1370441496.12,603516.SH
20230331,20230428,-,-,-,-,-,-,-,-,-,-,-,119360723.07,-,-,-,-,-,-,-,-,-,-,-,-,2330764.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39113610.12,661450825.61,-,-,-,-,351010261.7,72420756.56,-,-,-,-,985031579.45,22870744.34,2154342338.36,-,-,-,-,-,-,81291693.55,3132205.31,-,122614912.91,1282723744.46,1825130713.14,119360723.07,295759721.0,3822825104.2,5977167442.56,438173715.6,-,-,-,-,-,419554425.8,67910696.71,-,66915844.28,40946650.4,-,-,-,413499962.76,44532418.94,1639713559.95,740982914.35,271136489.41,-,-,6074967.57,-,1134734316.67,2774447876.62,347206650.0,2021360261.25,-,107946853.36,-,724766753.94,-,3202719565.94,-,3202719565.94,5977167442.56,603518.SH
20230331,20230428,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1275416.67,-,-,-,-,-,-,-,-,242239129.18,-,-,-,278984233.34,182230204.19,130510483.49,-,-,-,-,144024323.4,-,1019342525.02,-,-,-,1043612883.39,-,-,76136935.75,-,-,119356419.62,17540921.43,-,-,2555851.99,1139846592.56,2159189117.58,-,-,-,-,-,335531882.23,61128349.18,6357126.06,-,2115541.35,665442.52,-,-,-,-,107154238.35,512977608.82,-,-,-,-,118081002.95,-,119356419.62,632334028.44,266327839.0,45130417.83,-,133163919.5,-,1082232912.81,-,1526855089.14,-,1526855089.14,2159189117.58,603519.SH
20230331,20230427,-,-,-,-,-,-,-,-,-,-,-,39926990.49,-,2740032290.41,-,-,-,-,-,-,-,-,-,-,4391055238.36,-,-,-,-,-,-,-,-,-,-,195907618.13,-,-,-,-,-,-,-,134953200.0,10046384015.48,-,114020833.68,-,-,422338014.71,25766134.13,1255395.25,-,-,-,699639229.09,14395903.85,14093332257.44,-,-,-,126658936.58,250276549.64,-,1987748280.92,208053479.16,-,255731436.47,541133701.87,-,39926990.49,101860510.64,7737076186.2,21830408443.64,511250000.0,-,-,-,-,5738682444.24,4495526298.74,609137732.24,-,112164815.54,222286357.8,500000.0,-,-,5418116.53,15485248.85,12338725095.57,-,1569497243.85,-,-,7167704.43,-,1825228680.32,14163953775.89,574700004.0,1990702535.2,-,290784296.91,-,4490633298.41,-,7644520957.17,21933710.58,7666454667.75,21830408443.64,603529.SH
20230331,20230428,-,-,-,-,-,-,-,-,-,-,-,6051921.07,-,-,41312071.5,-,-,-,-,-,-,-,-,-,74118469.91,-,-,-,-,-,-,-,-,-,-,60431947.69,-,-,-,-,-,-,-,-,459529781.98,-,27760000.0,-,26939868.21,334877199.01,9091269.27,-,-,-,-,183555753.96,4209079.43,1074034492.34,-,-,-,-,-,-,552195643.99,59861239.84,-,60431947.69,122718458.47,-,6051921.07,10476511.44,866734316.22,1940768808.56,-,-,-,-,-,85230234.28,70683496.95,4462425.42,-,16816229.76,7635890.18,-,-,-,-,374569.62,274629033.22,-,-,-,-,-,-,60431947.69,335060980.91,432263327.0,552348368.76,-,99143838.88,-,521839397.05,-,1605707827.65,-,1605707827.65,1940768808.56,603530.SH
20230331,20230429,-,-,-,-,-,-,-,-,-,-,-,1428264.75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3970000.0,-,-,-,-,-,-,-,-,1966360047.0,-,-,-,-,320406593.42,49578516.57,-,-,-,-,390676.6,79499935.59,2431445336.35,-,-,-,246717520.97,-,-,20729034.2,-,-,54304468.19,154042901.95,17543621.95,1428264.75,21887708.91,881400855.12,3312846191.47,-,-,-,-,-,-,328918794.55,254117451.42,-,31558964.74,20690405.09,-,-,-,596770.54,11828226.54,653784879.14,-,-,-,-,-,49917532.11,54304468.19,708089347.33,438896835.0,1339447561.11,-,81353399.42,-,733776728.96,-,2583984571.1,20772273.04,2604756844.14,3312846191.47,603533.SH
20230331,20230428,-,-,-,-,-,-,-,-,-,-,-,8947398.38,-,-,-,-,-,-,-,-,-,-,-,-,20748111.34,-,-,-,-,-,-,-,-,-,-,13449124.54,-,-,-,-,-,-,-,-,407931479.72,-,-,-,-,129371451.48,13312021.17,-,-,-,-,197473288.74,1942564.54,766275570.05,-,-,-,801155.73,-,-,629142125.19,37284318.63,-,30223623.08,76314016.77,-,8947398.38,46572773.72,855556999.74,1621832569.79,686360215.37,-,-,-,-,-,258239300.27,42765352.12,-,28067615.6,9326023.65,-,-,-,15058839.75,5559495.78,1071369949.97,29537858.33,-,-,-,-,-,59761481.41,1131131431.38,244642300.0,205239617.73,-,27047256.27,-,2012412.51,-,478941586.51,11759551.9,490701138.41,1621832569.79,603536.SH
20230331,20230429,-,-,-,-,-,-,-,-,-,-,-,18162851.5,-,-,-,-,-,-,-,-,-,-,30784190.25,-,52879405.5,-,-,-,-,-,-,-,-,-,-,70746130.07,-,-,-,-,-,-,-,30869031.82,677394093.81,-,308899668.81,-,-,151742630.92,18105336.7,-,-,-,-,648072367.5,75218918.22,1924253063.05,-,-,-,301706447.43,1287067.43,-,1250877425.99,561771403.11,-,206415733.12,140622534.51,-,18162851.5,111654011.03,2503228023.25,4427481086.3,478158500.0,-,-,7279441.62,-,185629296.43,279799723.77,162994207.59,-,23895691.28,88414388.14,-,-,-,54999397.23,3782566.03,1327804909.7,245000000.0,419683617.13,-,-,100371228.0,-,871099350.25,2198904259.95,213401060.0,568889934.74,5229987.28,36293172.24,-,1277768347.48,-,2137492996.27,91083830.08,2228576826.35,4427481086.3,603538.SH
20230331,20230429,-,-,-,-,-,-,-,-,-,-,-,15532238.04,-,-,8779402.55,-,-,-,-,-,-,-,-,-,55905262.84,-,-,-,-,-,-,-,-,-,-,1186423.69,-,-,-,-,13427662.27,-,-,30005345.2,3765937707.85,-,1054694464.23,-,35523398.02,1026265560.12,78697038.08,-,-,-,-,893163062.32,154401604.34,7101013692.64,-,-,-,16781100.08,14826983.65,-,456177051.61,109088902.95,-,43513546.64,190431296.98,-,15532238.04,67031063.35,1049123192.3,8150136884.94,83037333.33,-,-,5483794.0,-,37670657.7,737333087.72,157296448.4,-,89108289.81,69401630.41,-,-,-,22029526.93,153944357.44,1513173056.72,431898099.37,-,-,-,13718350.14,14954733.85,475411646.01,1988584702.73,488684040.0,2377851172.82,-,307533647.99,-,3090486960.67,-,6158263856.05,3288326.16,6161552182.21,8150136884.94,603556.SH
